timestamp,seconds,current_replicas,desired_replicas,cpu_utilisation_pct
2026-09-25T13:03:16Z,0,2,2,3
2026-09-25T13:03:22Z,5,2,2,3
2026-09-25T13:03:27Z,11,2,2,3
2026-09-25T13:03:32Z,16,2,2,3
2026-09-25T13:03:38Z,21,2,2,3
2026-09-25T13:03:43Z,27,2,2,4
2026-09-25T13:03:48Z,32,2,2,4
2026-09-25T13:03:53Z,37,2,2,4
2026-09-25T13:03:59Z,42,2,3,75
2026-09-25T13:04:04Z,48,2,3,75
2026-09-25T13:04:09Z,53,2,3,75
2026-09-25T13:04:15Z,59,3,7,182
2026-09-25T13:04:20Z,64,3,7,182
2026-09-25T13:04:26Z,70,7,10,399
2026-09-25T13:04:32Z,75,7,10,399
2026-09-25T13:04:37Z,81,7,10,399
2026-09-25T13:04:43Z,86,10,10,456
2026-09-25T13:04:48Z,92,10,10,456
2026-09-25T13:04:54Z,98,10,10,456
2026-09-25T13:05:00Z,103,10,10,429
2026-09-25T13:05:06Z,109,10,10,429
2026-09-25T13:05:11Z,115,10,10,406
2026-09-25T13:05:17Z,120,10,10,406
2026-09-25T13:05:22Z,126,10,10,406
2026-09-25T13:05:28Z,132,10,10,365
2026-09-25T13:05:34Z,137,10,10,365
2026-09-25T13:05:39Z,143,10,10,365
2026-09-25T13:05:45Z,148,10,10,383
2026-09-25T13:05:50Z,154,10,10,383
2026-09-25T13:05:56Z,160,10,10,399
2026-09-25T13:06:02Z,165,10,10,399
2026-09-25T13:06:07Z,171,10,10,399
2026-09-25T13:06:13Z,176,10,10,394
2026-09-25T13:06:19Z,182,10,10,394
2026-09-25T13:06:24Z,188,10,10,394
2026-09-25T13:06:30Z,194,10,10,386
2026-09-25T13:06:36Z,199,10,10,386
2026-09-25T13:06:42Z,205,10,10,381
2026-09-25T13:06:47Z,211,10,10,381
2026-09-25T13:06:53Z,217,10,10,381
2026-09-25T13:06:58Z,222,10,10,389
2026-09-25T13:07:04Z,228,10,10,389
2026-09-25T13:07:10Z,233,10,10,389
2026-09-25T13:07:16Z,239,10,10,388
2026-09-25T13:07:21Z,245,10,10,388
2026-09-25T13:07:27Z,250,10,10,391
2026-09-25T13:07:32Z,256,10,10,391
2026-09-25T13:07:38Z,262,10,10,391
2026-09-25T13:07:44Z,267,10,10,396
2026-09-25T13:07:49Z,273,10,10,396
2026-09-25T13:07:55Z,278,10,10,396
2026-09-25T13:08:00Z,284,10,10,391
2026-09-25T13:08:06Z,290,10,10,391
2026-09-25T13:08:12Z,295,10,10,392
2026-09-25T13:08:17Z,301,10,10,392
2026-09-25T13:08:23Z,306,10,10,392
2026-09-25T13:08:28Z,312,10,10,385
2026-09-25T13:08:33Z,317,10,10,385
2026-09-25T13:08:39Z,323,10,10,385
2026-09-25T13:08:44Z,328,10,10,315
2026-09-25T13:08:50Z,333,10,10,315
2026-09-25T13:08:55Z,339,10,10,315
2026-09-25T13:09:00Z,344,10,10,187
2026-09-25T13:09:05Z,349,10,10,187
2026-09-25T13:09:11Z,354,10,10,187
2026-09-25T13:09:16Z,360,10,10,57
2026-09-25T13:09:21Z,365,10,10,57
